[212799 to 12493]: ，-7509  的-7434  。-7454  在-6718  有-6184  是-5766  了-5478  就-4633  上-5765  都-4568
[400 to 394]: 未有-345  再次-329  呈現-303  模型-135  動態-221  限量-185  真-267  位-334  若-344  截圖-95
[197 to 197]: 甚麼-143  剛剛-179  身份-138  收入-121  更快-163  改版-105  周邊-132  既然-180  時刻-105  類型-169
[122 to 122]: 群組-68  魅力-115  增長-90  直-95  哩-83  規劃-99  兒童-71  錄音-54  提-111  優秀-99
[86 to 85]: 取-74  航班-22  室內-62  網速-18  睇片-68  模仿-67  同上-36  成果-74  一如-79  差別-71
[65 to 65]: 說這-62  想起-58  卓手機-4  喔喔-26  清洗-35  樣本-35  鋰電池-33  清晰度-37  滿分-17  破解-41
[51 to 51]: 發起-43  中會-48  科幻-42  不難-47  只好-49  隨時隨地-45  靈感-45  總括-47  單機-38  法案-25
[42 to 42]: 特朗-28  就此-41  全都-41  乃-24  勝負-36  至月-39  丟-35  浪費-40  這幾-39  睡-28
[36 to 36]: 近距離-32  摧毀-30  再多-35  兩顆-32  型-34  大城市-33  全屏幕-29  受訪者-16  打電話-28  七龍珠-17
[30 to 30]: 另購-23  不乏-30  值得一提-30  詳盡-29  定下-27  為月-24  注意力-26  羅-20  海岸-24  飲-17
[26 to 26]: 出示-17  餐飲-15  正方形-15  選拔賽-12  上前-24  緣故-25  氣球-18  城鎮-15  三段-19  聲浪-22
[23 to 23]: 約億-21  一睹-22  營運商-14  會影響-23  即止-19  易於-21  耳道-15  纖維-19  一發-16  中置-17
[20 to 20]: 三間-18  越好-18  拖曳-13  左上-17  雙倍-10  俾-18  漏-19  假日-18  裝嵌-12  更少-20
[18 to 18]: 幹嘛-18  點燃-13  共和國-13  賽會-17  為國-16  幽靈-11  這個系-17  界面-16  廢墟-14  年份-16
[17 to 17]: 雷軍-11  錘子-5  大致相同-16  平衡性-8  噴出-14  知情-16  而要-16  賣家-12  熱風-10  高顏值-7
[15 to 15]: 估算-14  青睞-14  再三-13  發射站-6  貓奴-10  從圖片-15  紀念活動-11  原料-14  陸-7  速遞-12
[14 to 14]: 下角-13  沒能-11  揉合-14  機系統-14  蜂巢式-11  買回-12  中小型-12  無人店-3  大電-14  變慢-12
[13 to 13]: 放寬-10  味-12  小本本-5  出產-12  波棍台-10  鯊魚-5  想有-12  夏永康-4  天氣狀況-10  有來有往-12
[12 to 12]: 野-9  掛機-7  指頭-9  搞掂-10  鬼屋-4  遊戲體-11  穩重-11  時觀-10  驗室-11  老手-9
[11 to 11]: 革命性-11  購物車-9  強光-9  不管怎樣-10  攀爬-10  百元-7  將車-11  遠古-8  閃現-11  鍛鍊-10
[10 to 10]: 農作物-6  級季-7  紳士們-8  授予-5  元老-8  單殺-8  懸殊-9  指責-9  歸功-10  被騙-8
[9 to 9]: 封包-7  見怪不怪-9  福音戰士-7  王位-8  讓現場-9  對沒-9  泵-8  協作-9  筆尖-7  燈飾-6
[9 to 9]: 實會-9  卡付款-7  坪-7  導遊-5  新會-8  寄語-7  們除-9  尋寶-6  來覺-9  後用-9
[8 to 8]: 品種-7  九成-8  厚薄-6  糾紛-7  至上-8  經濟委員會-5  推敲-8  見於-8  場所-8  次要-8
[8 to 8]: 與應-7  功能強大-8  銷毀-7  鉸位-5  座枱-6  擊力-6  一萬元-8  病毒感染-5  年過-7  緊握-5
[7 to 7]: 車電-4  選委-3  項服-6  別開生面-7  新生代-7  巡演-5  售予-7  辭職-7  禾-6  諗-6
[7 to 7]: 淨化器-5  罐裝-3  驗過-7  幾部-5  後進-7  切換鍵-7  臨睡前-6  地主-7  曲-5  慎重-7
[7 to 7]: 理工學院-6  數據網絡-4  長們-7  游刃有餘-7  冰冷-6  一滑-7  表旗-6  響年-4  需時-7  磨損-7
[6 to 6]: 稻草-5  電影迷-4  將製-4  無聲-4  長期保持-6  光速-4  對該-6  著該-6  們訪-5  評斷-6
[6 to 6]: 幻-6  抓取-6  競爭者-6  高階型-6  伸手-6  扭軚-5  旋扭-3  電控-5  還配備-6  流板-6
