[761043 to 28204]: ，-30701  。-30719  的-27886  在-24859  有-20993  及-19927  是-16034  他-11456  和-11998  不-11973
[447 to 446]: 相同-392  正確-370  科學-281  訴求-330  老翁-168  因應-403  難-371  為期-382  中學-292  安裝-293
[207 to 207]: 下旬-181  今晨-189  與國-192  轉移-166  今屆-159  戶外-142  物件-168  負面-165  批出-167  寅-88
[128 to 127]: 陳水-74  飲料-67  次數-113  背部-105  掠過-95  逃生-91  劫案-93  不穩-115  電價-52  呂秀蓮-47
[88 to 88]: 人身-74  師信-45  希臘-20  內會-71  黃國-47  新一期-54  雲端-55  機蛋-44  摧毀-74  中資-71
[66 to 66]: 社會局-35  捕捉-53  情事-50  只用-62  會導-63  通信-54  三讀通過-47  募集-38  掌控-58  歲男司-59
[52 to 52]: 尺寸-32  發達-47  本網頁-52  出新-48  查隊-47  觀望-46  與港-46  衛生局局-50  戒-46  月期-44
[42 to 42]: 註明-38  交棒-31  失落-30  農戶-22  將舉-38  梵-30  大話-30  指與-39  鐵錘-29  棲息-34
[35 to 35]: 銀牌-18  第三位-30  全長約-26  著想-30  染血-28  兇案-25  語氣-34  體育會-17  常有-32  第宗-31
[30 to 30]: 新天地-14  轉車-26  河內-19  第任-23  醒-20  肩膊-28  迫-26  非要-25  約章-15  報價-27
[26 to 26]: 破解-19  入禀-19  時派-25  國應-25  州長-16  老母-15  中稱-25  銀髮-14  國共-18  連戰-17
[23 to 23]: 道時-21  減肥-13  主損-20  無可-21  美人-18  主犯-9  公布年-19  棉被-10  為創-21  阻街-17
[21 to 21]: 還特別-18  空白-19  神學-16  過速-6  員機-16  級學生-16  視光師-5  巡禮-12  右前-14  長服金-12
[18 to 18]: 縣黨部-9  於陳-18  學姊-10  槍決-14  總領-12  聲討-16  情願-15  師麥-16  於機-18  計畫於-18
[17 to 17]: 報失-14  與非-17  遞上-15  女伴-10  定性-15  回軟-11  魯煒-4  上場-15  遠海-14  奉命-16
[15 to 15]: 爐灶-15  陣痛-14  按部就班-14  佳餚-13  好幾-15  歷時約-14  時過-12  紫竹寺-4  訂造-12  下跪-13
[14 to 14]: 分工合作-13  絞牙-5  街站-9  俾佢-11  何柏佳-4  許頌明-7  死念-10  九天-10  萬聖節-8  鈉-9
[13 to 13]: 處理量-10  被性-11  回首-11  眼下-12  鼓噪-12  舒適度-12  則繼續-13  州政府-9  繼早-13  練乙錚-6
[12 to 12]: 約萬戶-10  攝張-8  電風扇-7  大類-10  惠康-8  無息貸款-7  兒後-12  先決條件-11  比亞-9  讓合-11
[11 to 11]: 深入分析-9  房局-9  國經濟-10  法蘭克福-9  構成犯罪-10  會個-9  顯徑-10  隻貓-10  叮咬-8  巡隊-7
[10 to 10]: 總動員-10  良指-8  時必-10  結交-9  亞洲人-5  很貴-7  蓋物-8  山海-9  團須-7  成半-10
[10 to 10]: 威視-3  南韓民-6  琥珀-7  不齒-9  書冊-6  失焦-10  選過-7  千瓦-6  控制塔-6  連威-8
[9 to 9]: 姦殺-7  網約車-7  山崎-4  萬頭-5  商船-8  為百-7  理學-8  大加-8  客會-7  帝國主義-6
[8 to 8]: 美會-8  丟失-7  塌陷-7  罩-8  會啟動-8  開放個-8  屬解釋-8  甦術-8  醫學雜誌-7  進到-8
[8 to 8]: 現場將-8  後奪-6  堂堂-8  稀奇-7  來連-8  建軍節-4  恩與-6  離開港-6  時需-8  到極點-8
[7 to 7]: 入伙後-4  線號-5  函送-7  時地-7  人車-7  海實-7  嘴臉-7  小規-7  與目-7  終食-7
[7 to 7]: 本含-5  共議-5  民怨沸騰-7  失調症-4  眼時-5  光則-7  鎖鏈-5  後製-6  幹事林-7  讓事-7
[7 to 7]: 勢緊張-6  林慧-6  胸襲-5  行為罪-7  女業-4  逆來順受-5  利於-7  全速進行-7  指高-7  前周-5
[6 to 6]: 義嗎-6  多指-3  分立-5  警員調-6  區合-6  個學額-6  拉鏈-5  褪色-5  洗濯-3  蜂蜜驗-6
[6 to 6]: 無寫-6  官房-4  韓關係-4  該記者-6  醫局-5  鑽入-6  龍舟競渡-4  十隻-6  永文-5  高醫生-4
[6 to 6]: 公安指-6  掐-5  與虎謀皮-4  會共識-6  幅位-6  骨癌-3  最遠-6  胃藥-3  層地-5  要不然-6
[5 to 5]: 說本港-5  莫俊傑-3  一個打-4  會議祕-5  話內-5  地疑人-5  龜池-3  急掣-5  層車廂-4  女車-4
[5 to 5]: 重修-5  水杯-5  挑戰台-5  公約數-5  四方面-5  超巿-3  讓眾-5  爾後-5  職滿-5  四七-5
[5 to 5]: 習帝-5  言說-4  灰暗-5  場波-5  揚威-5  於負責-5  邊講-5  睇咗-4  泛關注-5  一九九四年-4
[5 to 5]: 許開-5  並自-5  縣定-4  與觀-3  風氣之先-5  增廣見聞-5  應傷人案-5  美景街-5  注銷-4  羅伯特-3
[5 to 5]: 疑打-3  目除-5  半關稅-5  對智能-5  陳錦-4  暴派-4  現時卻-5  柯式-4  開位-5  認將-5
[4 to 4]: 縱谷-3  企業沒-3  大費周章-4  言語性-4  麼難-3  黃腔-3  依性-3  物與-4  再而三-4  有目-4
[4 to 4]: 來馬灣-4  新都-4  挖空心思-4  為藝-3  機會甚微-4  集萬-4  衆籌-3  梁振英稱-4  蘭皇-4  隊偵-3
[4 to 4]: 行落-4  後生仔-4  縱有-4  安卡拉-4  述情-4  為何人-4  三個半-3  說管-4  客座授課-3  無疑義-4
[4 to 4]: 這步-4  善變-4  老前輩-4  最適-4  星鎖-3  柙-4  按事實-4  菊鄭-3  榕過-3  讓鄭-3
[4 to 4]: 金鐘佔-4  賣電-4  於協-4  凸出-4  處網-3  估並-4  司機必須-3  內爭執-4  左胸口-4  數種-4
[4 to 4]: 門藍-4  跳來跳去-4  鬧著-3  歷久不衰-3  客逃-4  須戴-3  族類-3  自甘-4  汙點-4  觀察力-4
[3 to 3]: 乳頭-3  盡濕-3  應可-3  貿易機制-3  為荷-3  關廣-3  大學土木-3  液體罪-3  尖沙嘴帝-3  傑林-3
[3 to 3]: 截查架-3  員陳克勤指-3  卡人-3  將目-3  高質感-3  還送-3  張卡-3  卡則-3  積點-3  標準時-3
[3 to 3]: 語源-3  僱名-3  日考-3  慮時-3  除夕-3  門釘-3  槍牌-3  產執-3  士並-3  士車匙-3
[3 to 3]: 關北角-3  配予-3  信申-3  澤祥街-3  榮德-3  暫離-3  自行鬆-3  離市-3  陸事-3  參賽者性-3
[3 to 3]: 金來-3  書還-3  區理-3  適地-3  喬木-3  於園-3  馬任-3  職禮-3  則限-3  樣行-3
