[88995 to 4091]: ，-2669  的-2631  。-2667  有-2306  在-2090  是-1981  都-1783  了-1713  及-1564  也-1562
[229 to 224]: 不要-180  乘-130  夜市-80  台東-54  遊戲-126  花火-34  親征-76  您-106  報名-103  呈現-166
[123 to 122]: 十足-102  即日-85  秘境-69  釜山-38  餐飲-95  熱點-93  名為-99  場景-89  組成-91  慢慢-105
[84 to 83]: 飛-61  貼文於-11  年月月日-11  熊讚-9  富士-24  攤位-56  菜單-58  製成-66  材料-61  半-64
[61 to 61]: 大賽-40  理想-43  滿滿的-50  抽獎-41  獲-55  檸檬-41  命名-51  黃金-43  公車-35  不算-52
[49 to 49]: 新北-30  金色-40  待-43  雕像-32  隱藏-36  啤酒節-8  看似-44  本日-28  大獎-36  裝修-35
[41 to 40]: 假酒店-24  這位-34  採-34  較少-38  玩法-29  胡志明市-14  笑-31  出售-37  木瓜-10  閱讀-16
[34 to 34]: 中心的-31  逛逛-31  抽-25  一覽-31  頂-29  狀況-31  便當-16  取代-30  找來-28  基礎-30
[30 to 30]: 導致-25  重慶-8  成就-29  點選-29  小櫻-5  涉谷-12  貓咪-11  清晨-25  青春-24  佔-25
[26 to 26]: 撒-21  依舊-25  宣佈-21  夯-21  海陸-18  掃-18  據-25  領取-21  玩意-20  餐區-16
[23 to 23]: 享樂-22  管家-13  玩到-20  兩夜-16  吊燈-12  星巴克-11  則為-23  高聳-20  道具-17  撞-19
[21 to 21]: 醫院-14  題-12  否則-20  間店-16  第二天-19  貴賓室-9  糖果-16  刀工-8  好奇-21  夏戀-4
[18 to 18]: 改名-16  上帝-12  相遇-15  牛油-16  鋪上-16  竹筍-4  呼籲-17  半年-16  侶-18  租用-13
[17 to 17]: 泰銖-8  蔚藍-14  韓牛-4  鄉間-15  體感-14  煙火秀-10  千葉縣-11  布丁-7  兩客-6  嵐山-11
[15 to 15]: 炎夏-13  匯集-11  木桶-11  顧名思義-15  觀光船-9  預計年-12  驚嚇-7  花紋-12  直徑-12  感官-12
[14 to 14]: 大井川-8  優良-13  情緒-8  蒲點-8  通行證-11  從海-14  西區-9  滑行-10  護膚-10  岸邊-11
[13 to 13]: 至今已有-12  最深-12  迴廊-11  滿天-13  樂場-11  夜遊-9  首席-8  值-12  山岳-9  原始森林-13
[12 to 12]: 的士-10  長野縣-10  玉原-3  還以-11  無論如何-9  鋼-6  潛-12  繁星-12  動車-9  視角-11
[11 to 11]: 實這-11  厚切-6  拉麵店-3  煮成-10  輕巧-11  天際線-8  嬰兒-8  試業-4  配菜-11  連續年-10
[10 to 10]: 偏好-9  上路-8  行車-7  構-10  約元-7  捕魚-5  與海-10  暫停-9  效益-9  須於-9
[10 to 10]: 極地-4  雲頂-3  房租-7  狀-8  綠色植物-8  固力-4  行過-10  小巴-8  明洞-9  穴子-5
[9 to 9]: 子-4  烤鴨-3  四至-7  試營-7  映照-9  山鄉-7  調節-8  對抗-8  噴霧-8  移-8
[9 to 9]: 制度-5  當令-8  出峰-6  女主人-3  面海-7  一整個-9  們這-9  新大阪站-5  幕後-8  廠商-8
[8 to 8]: 聖殿-5  花枝-6  懷石-6  吟釀-4  帳號-7  扇子-6  對稱-7  書法-7  樹下-5  堤岸-4
[8 to 8]: 緩解-6  與年-8  重達-5  必到之處-8  半熟-7  鮮食-3  單品-7  內湖-5  潮人-5  掃帚-3
[7 to 7]: 們除-7  輔以-6  簡樸-6  闔家-7  總店-7  繞-7  縮短-7  請務-5  島為-7  入貨-4
[7 to 7]: 杯墊-6  髮飾-5  接着-5  讚賞-7  明治維新-4  迷朝聖-6  加開-6  秒殺-6  百分百-6  近鐵-4
[6 to 6]: 會上-5  演場-4  肩負-6  於個-6  不宜-5  境外-6  隨時會-6  頸鹿-4  名副其實-6  人文景觀-6
[6 to 6]: 窩-5  出巡-5  快餐-4  攝圖-3  組別-6  有史以來-6  天步道-3  沖洗-4  底片-5  樂快-6
[6 to 6]: 銜接-6  新綠-4  後與-6  涼意-5  短途旅行-5  稅款-4  三路-4  鬆脆-6  台東市-3  濱鄉-6
[6 to 6]: 伸展-6  牛舌-4  主廚親-4  岩-5  島與-5  混搭-6  歷園區-3  歷園-3  你好-6  中秋月-4
[5 to 5]: 斑駁-5  改裝成-5  夾層-5  民泊法-3  業法-4  為主題-5  服務台-5  為響-5  醬玩-4  主題遊-5
[5 to 5]: 錯嘅-4  玩時-4  快快-5  每一處-5  於店-5  龍山-3  乍看之下-5  寬廣-5  鹹食-4  跨界-5
[5 to 5]: 審-5  數月-5  中葡-4  誘因-5  全馬-5  歡樂氣氛-5  條路線-5  丸-3  下周-5  簇擁-5
[5 to 5]: 一打-5  字句-5  寒天-3  最上層-4  國宴-4  於美-5  不可不-5  餘韻-3  外婆-3  白花-3
[5 to 5]: 賣店-5  同日子-4  海浜-3  笨豬-3  處台-4  菲-5  精打細算-5  噴火-4  船與-5  補水-3
[4 to 4]: 鑽研-4  藥材-4  化學-4  古早味-3  廣告公司-4  以為-4  選中-4  傳人-3  柴魚-3  放涼-4
[4 to 4]: 贏盡-4  與閨-4  走走看看-4  區漢-3  會點-4  與臺-4  車長-4  八卦山-3  擺出-4  托-3
[4 to 4]: 潮漲時-4  滑到-3  刺激感-4  搭火車-4  醒胃-4  魚與-4  芽菜-4  華與-4  立明-3  首張-3
[4 to 4]: 小包-3  風景秀麗-3  月則-3  味嘅-4  發聲-4  兒童月-3  要價-4  時序-4  澎派-3  氣名店-4
[4 to 4]: 遊活-4  錄片-4  處達-4  國法-3  福氣-4  飛番-4  代碼-4  當入-3  忘卻-4  衣櫥-4
